,s_visi,s_cond,e_visi,e_cond
91,10.0,Partly Cloudy,10.0,Partly Cloudy
92,10.0,Clear,10.0,Clear
93,10.0,Clear,10.0,Clear
94,9.0,Clear,9.0,Scattered Clouds
95,10.0,Clear,10.0,Clear
96,10.0,Partly Cloudy,10.0,Overcast
97,9.0,Overcast,8.0,Overcast
98,10.0,Clear,10.0,Clear
99,10.0,Clear,10.0,Clear
100,10.0,Partly Cloudy,10.0,Partly Cloudy
101,8.0,Mostly Cloudy,8.0,Mostly Cloudy
102,10.0,Overcast,10.0,Overcast
103,10.0,Clear,10.0,Clear
104,10.0,Clear,10.0,Clear
105,7.0,Overcast,9.0,Overcast
106,10.0,Mostly Cloudy,10.0,Partly Cloudy
107,10.0,Clear,10.0,Clear
108,10.0,Clear,10.0,Clear
109,10.0,Clear,10.0,Clear
110,10.0,Clear,10.0,Clear
111,10.0,Clear,10.0,Clear
112,9.0,Clear,9.0,Clear
113,10.0,Clear,10.0,Clear
114,10.0,Clear,10.0,Clear
115,10.0,Scattered Clouds,10.0,Scattered Clouds
116,5.0,Overcast,5.0,Overcast
117,8.0,Scattered Clouds,8.0,Scattered Clouds
118,10.0,Clear,10.0,Clear
119,10.0,Overcast,10.0,Overcast
120,10.0,Clear,10.0,Clear
121,9.0,Overcast,1.5,Rain
122,10.0,Clear,10.0,Clear
123,9.0,Overcast,8.0,Overcast
124,10.0,Mostly Cloudy,10.0,Mostly Cloudy
125,10.0,Clear,10.0,Mostly Cloudy
126,9.0,Clear,10.0,Clear
127,10.0,Clear,10.0,Clear
128,10.0,Clear,10.0,Clear
129,5.0,Mostly Cloudy,5.0,Mostly Cloudy
130,10.0,Clear,10.0,Clear
131,10.0,Mostly Cloudy,10.0,Clear
132,10.0,Clear,10.0,Clear
133,5.0,Haze,5.0,Haze
134,10.0,Clear,10.0,Clear
135,10.0,Clear,10.0,Clear
136,9.0,Clear,9.0,Clear
137,10.0,Clear,10.0,Clear
138,10.0,Clear,10.0,Clear
139,10.0,Clear,10.0,Clear
140,10.0,Scattered Clouds,10.0,Scattered Clouds
141,7.0,Scattered Clouds,7.0,Scattered Clouds
142,10.0,Clear,10.0,Mostly Cloudy
143,10.0,Clear,10.0,Clear
144,10.0,Overcast,10.0,Overcast
145,9.0,Clear,9.0,Clear
146,10.0,Clear,9.0,Clear
147,9.0,Scattered Clouds,9.0,Scattered Clouds
148,2.0,Light Rain,3.0,Light Rain
149,10.0,Mostly Cloudy,10.0,Mostly Cloudy
150,10.0,Clear,10.0,Clear
151,9.0,Clear,9.0,Clear
152,10.0,Overcast,10.0,Overcast
153,9.0,Clear,9.0,Clear
154,6.0,Haze,6.0,Haze
155,10.0,Clear,10.0,Clear
156,10.0,Clear,10.0,Clear
157,10.0,Clear,10.0,Clear
158,10.0,Partly Cloudy,10.0,Partly Cloudy
159,6.0,Haze,6.0,Haze
160,10.0,Mostly Cloudy,10.0,Mostly Cloudy
161,10.0,Partly Cloudy,10.0,Partly Cloudy
162,10.0,Clear,10.0,Clear
163,10.0,Clear,10.0,Clear
164,10.0,Clear,10.0,Clear
165,10.0,Clear,10.0,Clear
166,4.0,Overcast,4.0,Overcast
167,10.0,Clear,10.0,Clear
168,10.0,Clear,10.0,Clear
169,10.0,Clear,10.0,Clear
170,9.0,Clear,9.0,Clear
171,10.0,Clear,10.0,Clear
172,9.0,Clear,9.0,Clear
173,10.0,Scattered Clouds,10.0,Mostly Cloudy
174,5.0,Haze,5.0,Haze
175,10.0,Overcast,10.0,Overcast
176,10.0,Mostly Cloudy,10.0,Partly Cloudy
177,9.0,Clear,9.0,Clear
178,1.0,Heavy Rain,1.8,Light Rain
179,10.0,Mostly Cloudy,10.0,Mostly Cloudy
180,10.0,Clear,10.0,Clear
181,7.0,Overcast,7.0,Overcast
182,10.0,Clear,10.0,Clear
183,10.0,Scattered Clouds,10.0,Scattered Clouds
184,10.0,Clear,10.0,Clear
185,10.0,Mostly Cloudy,10.0,Mostly Cloudy
186,8.0,Clear,8.0,Clear
187,10.0,Scattered Clouds,10.0,Scattered Clouds
188,10.0,Clear,10.0,Partly Cloudy
189,10.0,Partly Cloudy,10.0,Clear
190,6.0,Haze,2.0,Rain
191,10.0,Clear,10.0,Clear
192,7.0,Clear,8.0,Clear
193,6.0,Haze,6.0,Haze
194,8.0,Mostly Cloudy,8.0,Clear
195,10.0,Clear,10.0,Clear
196,8.0,Clear,8.0,Clear
197,10.0,Partly Cloudy,10.0,Partly Cloudy
198,10.0,Clear,10.0,Clear
199,10.0,Scattered Clouds,10.0,Scattered Clouds
200,10.0,Clear,10.0,Clear
201,10.0,Clear,10.0,Clear
202,10.0,Scattered Clouds,10.0,Overcast
203,10.0,Clear,10.0,Clear
204,10.0,Clear,10.0,Clear
205,10.0,Clear,10.0,Clear
206,10.0,Clear,10.0,Clear
207,10.0,Clear,10.0,Clear
208,10.0,Clear,10.0,Clear
209,9.0,Clear,9.0,Clear
210,10.0,Clear,10.0,Clear
211,10.0,Clear,10.0,Clear
212,10.0,Clear,10.0,Clear
213,10.0,Clear,10.0,Clear
214,10.0,Partly Cloudy,10.0,Overcast
215,10.0,Clear,10.0,Partly Cloudy
216,9.0,Clear,8.0,Clear
217,7.0,Clear,7.0,Clear
218,10.0,Clear,10.0,Clear
219,10.0,Overcast,10.0,Overcast
220,10.0,Clear,10.0,Partly Cloudy
221,10.0,Clear,10.0,Clear
222,10.0,Clear,8.0,Clear
223,9.0,Clear,9.0,Clear
224,10.0,Clear,10.0,Clear
225,10.0,Clear,10.0,Clear
226,10.0,Clear,10.0,Clear
227,10.0,Clear,10.0,Clear
228,10.0,Partly Cloudy,10.0,Partly Cloudy
229,9.0,Scattered Clouds,9.0,Scattered Clouds
230,10.0,Clear,10.0,Clear
231,10.0,Scattered Clouds,10.0,Scattered Clouds
232,10.0,Overcast,10.0,Overcast
233,10.0,Clear,10.0,Clear
234,9.0,Mostly Cloudy,9.0,Scattered Clouds
235,7.0,Scattered Clouds,7.0,Scattered Clouds
236,3.0,Overcast,2.0,Overcast
237,10.0,Clear,10.0,Clear
238,10.0,Overcast,10.0,Clear
239,7.0,Scattered Clouds,7.0,Mostly Cloudy
240,10.0,Scattered Clouds,10.0,Scattered Clouds
241,10.0,Partly Cloudy,10.0,Partly Cloudy
242,10.0,Clear,10.0,Clear
243,10.0,Mostly Cloudy,10.0,Mostly Cloudy
244,10.0,Clear,10.0,Partly Cloudy
245,9.0,Clear,9.0,Clear
246,10.0,Overcast,10.0,Overcast
247,5.0,Haze,5.0,Haze
248,5.0,Haze,5.0,Haze
249,10.0,Clear,10.0,Clear
250,10.0,Clear,10.0,Partly Cloudy
251,10.0,Overcast,10.0,Overcast
252,10.0,Clear,10.0,Clear
253,9.0,Clear,9.0,Clear
254,10.0,Clear,10.0,Clear
255,10.0,Clear,10.0,Clear
256,10.0,Scattered Clouds,10.0,Scattered Clouds
257,5.0,Mostly Cloudy,5.0,Mostly Cloudy
258,4.0,Mostly Cloudy,4.0,Mostly Cloudy
259,10.0,Clear,10.0,Clear
260,10.0,Clear,10.0,Clear
261,2.0,Mostly Cloudy,5.0,Overcast
262,5.0,Haze,5.0,Haze
263,6.0,Haze,6.0,Haze
264,7.0,Mostly Cloudy,7.0,Mostly Cloudy
265,5.0,Haze,5.0,Haze
266,10.0,Overcast,10.0,Mostly Cloudy
267,10.0,Clear,10.0,Clear
268,10.0,Clear,10.0,Clear
269,7.0,Overcast,7.0,Overcast
270,10.0,Overcast,10.0,Mostly Cloudy
271,10.0,Clear,10.0,Clear
272,10.0,Clear,10.0,Clear
273,10.0,Clear,10.0,Clear
274,10.0,Clear,10.0,Clear
275,10.0,Mostly Cloudy,10.0,Mostly Cloudy
276,5.0,Haze,5.0,Haze
277,10.0,Clear,10.0,Clear
278,10.0,Clear,10.0,Clear
279,9.0,Clear,9.0,Clear
280,10.0,Partly Cloudy,10.0,Partly Cloudy
281,10.0,Clear,10.0,Clear
282,10.0,Overcast,10.0,Overcast
283,10.0,Clear,10.0,Clear
284,10.0,Mostly Cloudy,10.0,Mostly Cloudy
285,10.0,Clear,10.0,Clear
286,10.0,Clear,10.0,Clear
287,10.0,Clear,10.0,Clear
288,10.0,Clear,10.0,Clear
289,10.0,Clear,10.0,Clear
290,10.0,Clear,10.0,Clear
291,10.0,Clear,10.0,Clear
292,9.0,Clear,9.0,Clear
293,10.0,Clear,10.0,Clear
294,10.0,Clear,10.0,Clear
295,10.0,Clear,10.0,Clear
296,5.0,Haze,5.0,Haze
297,10.0,Clear,10.0,Clear
298,10.0,Clear,10.0,Clear
299,10.0,Clear,9.0,Clear
300,10.0,Partly Cloudy,10.0,Partly Cloudy
301,8.0,Clear,8.0,Clear
302,10.0,Clear,10.0,Clear
303,10.0,Partly Cloudy,10.0,Clear
304,6.0,Mostly Cloudy,6.0,Mostly Cloudy
305,7.0,Mostly Cloudy,7.0,Mostly Cloudy
306,10.0,Clear,10.0,Clear
307,7.0,Scattered Clouds,7.0,Scattered Clouds
308,4.0,Light Rain,5.0,Haze
309,10.0,Clear,10.0,Clear
310,8.0,Clear,8.0,Clear
311,9.0,Clear,9.0,Clear
312,10.0,Clear,10.0,Clear
313,9.0,Clear,9.0,Clear
314,10.0,Clear,10.0,Clear
315,10.0,Scattered Clouds,10.0,Scattered Clouds
316,10.0,Partly Cloudy,10.0,Partly Cloudy
317,8.0,Mostly Cloudy,8.0,Mostly Cloudy
318,7.0,Mostly Cloudy,7.0,Mostly Cloudy
319,10.0,Partly Cloudy,10.0,Partly Cloudy
320,10.0,Mostly Cloudy,10.0,Mostly Cloudy
321,5.0,Haze,5.0,Haze
322,9.0,Scattered Clouds,9.0,Scattered Clouds
323,10.0,Clear,10.0,Clear
324,10.0,Mostly Cloudy,10.0,Mostly Cloudy
325,10.0,Clear,10.0,Clear
326,10.0,Clear,10.0,Clear
327,10.0,Clear,10.0,Clear
328,10.0,Clear,10.0,Clear
329,2.0,Overcast,1.8,Overcast
330,5.0,Overcast,5.0,Overcast
331,10.0,Clear,10.0,Clear
332,10.0,Clear,10.0,Clear
333,10.0,Clear,10.0,Clear
334,10.0,Scattered Clouds,10.0,Scattered Clouds
335,10.0,Partly Cloudy,10.0,Partly Cloudy
336,5.0,Overcast,5.0,Overcast
337,2.0,Light Rain,2.0,Light Rain
338,10.0,Clear,10.0,Clear
339,7.0,Clear,7.0,Clear
340,10.0,Clear,10.0,Clear
341,3.0,Light Rain,3.0,Overcast
342,10.0,Clear,10.0,Clear
343,10.0,Partly Cloudy,10.0,Partly Cloudy
344,10.0,Clear,10.0,Clear
345,10.0,Scattered Clouds,10.0,Scattered Clouds
346,10.0,Overcast,10.0,Overcast
347,7.0,Mostly Cloudy,8.0,Mostly Cloudy
348,10.0,Partly Cloudy,10.0,Partly Cloudy
349,10.0,Clear,10.0,Clear
350,9.0,Overcast,4.0,Light Rain
351,2.0,Overcast,1.8,Overcast
352,8.0,Mostly Cloudy,9.0,Mostly Cloudy
353,3.0,Light Rain,3.0,Light Rain
354,9.0,Overcast,9.0,Overcast
355,10.0,Clear,10.0,Clear
356,10.0,Mostly Cloudy,10.0,Mostly Cloudy
357,10.0,Clear,10.0,Clear
358,10.0,Clear,10.0,Clear
359,10.0,Clear,10.0,Clear
360,9.0,Clear,10.0,Clear
361,10.0,Clear,10.0,Clear
362,10.0,Partly Cloudy,10.0,Partly Cloudy
363,10.0,Clear,10.0,Clear
364,10.0,Overcast,10.0,Overcast
365,9.0,Clear,9.0,Clear
366,10.0,Clear,10.0,Clear
367,6.0,Haze,6.0,Haze
368,10.0,Mostly Cloudy,10.0,Mostly Cloudy
369,8.0,Partly Cloudy,8.0,Partly Cloudy
370,0.5,Rain,0.5,Rain
371,5.0,Overcast,4.0,Mostly Cloudy
372,10.0,Clear,10.0,Clear
373,10.0,Partly Cloudy,10.0,Clear
374,10.0,Scattered Clouds,10.0,Mostly Cloudy
375,10.0,Clear,10.0,Clear
376,10.0,Scattered Clouds,10.0,Scattered Clouds
377,10.0,Partly Cloudy,10.0,Partly Cloudy
378,5.0,Haze,5.0,Haze
379,10.0,Clear,10.0,Clear
380,7.0,Partly Cloudy,7.0,Partly Cloudy
381,7.0,Scattered Clouds,7.0,Scattered Clouds
382,6.0,Haze,6.0,Haze
383,8.0,Mostly Cloudy,8.0,Mostly Cloudy
384,10.0,Clear,10.0,Clear
385,10.0,Clear,10.0,Clear
386,10.0,Scattered Clouds,10.0,Scattered Clouds
387,10.0,Clear,10.0,Clear
388,10.0,Scattered Clouds,10.0,Scattered Clouds
389,10.0,Partly Cloudy,10.0,Partly Cloudy
390,10.0,Scattered Clouds,10.0,Scattered Clouds
391,10.0,Overcast,10.0,Overcast
392,10.0,Partly Cloudy,10.0,Partly Cloudy
393,9.0,Clear,9.0,Clear
394,3.0,Light Rain,3.0,Light Rain
395,8.0,Scattered Clouds,8.0,Scattered Clouds
396,10.0,Clear,10.0,Clear
397,6.0,Haze,6.0,Haze
398,5.0,Overcast,5.0,Overcast
399,10.0,Clear,10.0,Clear
400,10.0,Clear,10.0,Clear
401,10.0,Scattered Clouds,10.0,Mostly Cloudy
402,10.0,Overcast,10.0,Clear
403,9.0,Clear,10.0,Clear
404,10.0,Clear,10.0,Clear
405,9.0,Clear,9.0,Clear
406,6.0,Overcast,5.0,Overcast
407,5.0,Haze,5.0,Haze
408,10.0,Partly Cloudy,10.0,Partly Cloudy
409,10.0,Partly Cloudy,10.0,Partly Cloudy
410,10.0,Overcast,10.0,Overcast
411,10.0,Clear,10.0,Clear
412,10.0,Clear,10.0,Clear
413,10.0,Clear,10.0,Scattered Clouds
414,10.0,Clear,9.0,Clear
415,10.0,Clear,10.0,Clear
416,10.0,Clear,10.0,Clear
417,5.0,Haze,6.0,Haze
418,10.0,Scattered Clouds,10.0,Scattered Clouds
419,7.0,Clear,7.0,Clear
420,10.0,Clear,10.0,Partly Cloudy
421,10.0,Clear,10.0,Clear
422,9.0,Clear,9.0,Clear
423,0.2,Heavy Rain,0.2,Heavy Rain
424,10.0,Clear,10.0,Clear
425,10.0,Clear,10.0,Clear
426,8.0,Clear,8.0,Clear
427,10.0,Clear,10.0,Clear
428,9.0,Clear,9.0,Clear
429,5.0,Haze,5.0,Haze
430,10.0,Mostly Cloudy,10.0,Mostly Cloudy
431,10.0,Overcast,10.0,Overcast
432,10.0,Overcast,10.0,Overcast
433,10.0,Clear,10.0,Clear
434,10.0,Clear,10.0,Clear
435,9.0,Clear,9.0,Clear
436,10.0,Clear,10.0,Clear
437,10.0,Mostly Cloudy,8.0,Overcast
438,4.0,Haze,4.0,Haze
439,6.0,Haze,6.0,Haze
440,10.0,Clear,10.0,Clear
441,6.0,Haze,6.0,Haze
442,10.0,Clear,10.0,Clear
443,10.0,Partly Cloudy,10.0,Partly Cloudy
444,10.0,Overcast,10.0,Overcast
445,10.0,Mostly Cloudy,10.0,Mostly Cloudy
446,9.0,Overcast,10.0,Mostly Cloudy
447,10.0,Partly Cloudy,10.0,Partly Cloudy
448,2.0,Overcast,2.0,Mostly Cloudy
449,8.0,Clear,8.0,Clear
450,8.0,Clear,8.0,Clear
451,10.0,Clear,10.0,Clear
452,10.0,Mostly Cloudy,10.0,Mostly Cloudy
453,10.0,Clear,10.0,Clear
454,10.0,Scattered Clouds,10.0,Scattered Clouds
455,10.0,Clear,10.0,Clear
456,8.0,Mostly Cloudy,8.0,Mostly Cloudy
457,10.0,Clear,10.0,Clear
458,10.0,Clear,10.0,Clear
459,10.0,Clear,10.0,Clear
460,10.0,Clear,10.0,Clear
461,10.0,Clear,10.0,Clear
462,9.0,Overcast,4.0,Light Rain
463,6.0,Haze,7.0,Mostly Cloudy
464,10.0,Overcast,10.0,Overcast
465,10.0,Clear,10.0,Clear
466,9.0,Scattered Clouds,8.0,Mostly Cloudy
467,10.0,Mostly Cloudy,10.0,Mostly Cloudy
468,9.0,Clear,10.0,Clear
469,7.0,Scattered Clouds,7.0,Scattered Clouds
470,10.0,Clear,10.0,Clear
471,10.0,Partly Cloudy,10.0,Partly Cloudy
472,6.0,Haze,6.0,Haze
473,10.0,Clear,10.0,Clear
474,5.0,Haze,5.0,Haze
475,10.0,Clear,10.0,Clear
476,10.0,Overcast,10.0,Overcast
477,5.0,Haze,5.0,Haze
478,8.0,Clear,9.0,Mostly Cloudy
479,10.0,Clear,10.0,Clear
480,1.8,Light Rain,2.0,Light Rain
481,10.0,Clear,10.0,Clear
482,10.0,Mostly Cloudy,10.0,Mostly Cloudy
483,6.0,Haze,7.0,Partly Cloudy
484,10.0,Clear,10.0,Clear
485,0.2,Heavy Rain,0.8,Light Rain
486,10.0,Clear,10.0,Clear
487,10.0,Overcast,10.0,Overcast
488,10.0,Scattered Clouds,10.0,Scattered Clouds
489,8.0,Partly Cloudy,8.0,Partly Cloudy
490,10.0,Mostly Cloudy,10.0,Mostly Cloudy
491,4.0,Light Rain,6.0,Overcast
492,10.0,Clear,10.0,Clear
493,9.0,Overcast,9.0,Overcast
494,10.0,Mostly Cloudy,10.0,Mostly Cloudy
495,7.0,Mostly Cloudy,7.0,Mostly Cloudy
496,4.0,Mostly Cloudy,1.8,Light Rain
497,10.0,Clear,10.0,Clear
498,10.0,Mostly Cloudy,10.0,Mostly Cloudy
499,10.0,Clear,10.0,Clear
500,10.0,Overcast,10.0,Overcast
501,10.0,Clear,10.0,Clear
502,10.0,Clear,10.0,Clear
503,10.0,Clear,10.0,Clear
504,10.0,Overcast,10.0,Overcast
505,10.0,Clear,10.0,Clear
506,5.0,Haze,5.0,Haze
507,10.0,Clear,10.0,Clear
508,10.0,Clear,10.0,Clear
509,8.0,Clear,8.0,Clear
510,10.0,Clear,10.0,Clear
511,10.0,Clear,10.0,Clear
512,10.0,Clear,10.0,Clear
513,8.0,Clear,8.0,Clear
514,10.0,Clear,10.0,Clear
515,10.0,Mostly Cloudy,10.0,Mostly Cloudy
516,10.0,Clear,10.0,Clear
517,10.0,Partly Cloudy,10.0,Partly Cloudy
518,8.0,Clear,8.0,Clear
519,10.0,Clear,10.0,Clear
520,10.0,Clear,10.0,Clear
521,10.0,Scattered Clouds,10.0,Scattered Clouds
522,10.0,Clear,10.0,Clear
523,5.0,Haze,5.0,Haze
524,10.0,Clear,10.0,Clear
525,7.0,Scattered Clouds,7.0,Mostly Cloudy
526,9.0,Clear,9.0,Clear
527,10.0,Clear,10.0,Clear
528,10.0,Clear,10.0,Clear
529,10.0,Partly Cloudy,10.0,Scattered Clouds
530,10.0,Clear,10.0,Clear
531,10.0,Clear,10.0,Clear
532,9.0,Clear,9.0,Clear
533,10.0,Clear,10.0,Clear
534,10.0,Scattered Clouds,10.0,Scattered Clouds
535,10.0,Mostly Cloudy,10.0,Mostly Cloudy
536,10.0,Partly Cloudy,10.0,Clear
537,10.0,Clear,10.0,Clear
538,10.0,Mostly Cloudy,10.0,Mostly Cloudy
539,10.0,Scattered Clouds,10.0,Partly Cloudy
540,10.0,Clear,10.0,Clear
541,7.0,Clear,8.0,Clear
542,9.0,Mostly Cloudy,9.0,Mostly Cloudy
543,9.0,Mostly Cloudy,9.0,Mostly Cloudy
544,10.0,Clear,10.0,Clear
545,10.0,Clear,10.0,Clear
546,10.0,Clear,10.0,Clear
547,10.0,Clear,10.0,Clear
548,9.0,Scattered Clouds,7.0,Mostly Cloudy
549,10.0,Clear,10.0,Clear
550,10.0,Mostly Cloudy,10.0,Scattered Clouds
551,10.0,Clear,10.0,Clear
552,10.0,Clear,10.0,Clear
553,10.0,Partly Cloudy,10.0,Partly Cloudy
554,10.0,Clear,10.0,Clear
555,10.0,Clear,10.0,Clear
556,8.0,Clear,8.0,Clear
557,7.0,Partly Cloudy,7.0,Partly Cloudy
558,10.0,Partly Cloudy,10.0,Mostly Cloudy
559,3.0,Overcast,3.0,Mostly Cloudy
560,10.0,Clear,10.0,Clear
561,10.0,Clear,10.0,Clear
562,10.0,Clear,10.0,Clear
563,10.0,Scattered Clouds,10.0,Clear
564,10.0,Clear,10.0,Clear
565,10.0,Mostly Cloudy,10.0,Mostly Cloudy
566,10.0,Clear,10.0,Clear
567,10.0,Clear,10.0,Clear
568,5.0,Haze,5.0,Haze
569,10.0,Clear,10.0,Clear
570,10.0,Clear,10.0,Clear
571,9.0,Clear,8.0,Clear
572,10.0,Clear,10.0,Clear
573,4.0,Light Rain,4.0,Light Rain
574,10.0,Clear,10.0,Clear
575,10.0,Mostly Cloudy,10.0,Mostly Cloudy
576,10.0,Overcast,10.0,Overcast
577,10.0,Clear,10.0,Clear
578,10.0,Scattered Clouds,10.0,Scattered Clouds
579,6.0,Haze,6.0,Haze
580,10.0,Partly Cloudy,10.0,Mostly Cloudy
581,8.0,Scattered Clouds,8.0,Scattered Clouds
582,10.0,Clear,10.0,Clear
583,10.0,Clear,10.0,Clear
584,10.0,Clear,10.0,Clear
585,10.0,Clear,10.0,Clear
586,10.0,Clear,10.0,Clear
587,10.0,Mostly Cloudy,10.0,Mostly Cloudy
588,10.0,Clear,10.0,Clear
589,5.0,Haze,6.0,Haze
590,10.0,Clear,10.0,Clear
591,10.0,Overcast,10.0,Overcast
592,8.0,Scattered Clouds,8.0,Scattered Clouds
593,10.0,Clear,10.0,Clear
594,10.0,Clear,10.0,Clear
595,10.0,Overcast,10.0,Overcast
596,10.0,Clear,10.0,Clear
597,10.0,Partly Cloudy,10.0,Partly Cloudy
598,7.0,Scattered Clouds,7.0,Scattered Clouds
599,9.0,Clear,9.0,Clear
600,10.0,Clear,10.0,Clear
601,10.0,Clear,10.0,Clear
602,10.0,Clear,10.0,Clear
603,10.0,Clear,10.0,Clear
604,10.0,Clear,10.0,Clear
605,8.0,Clear,8.0,Clear
606,6.0,Haze,6.0,Haze
607,10.0,Clear,10.0,Clear
608,10.0,Mostly Cloudy,10.0,Scattered Clouds
609,10.0,Clear,10.0,Clear
610,10.0,Clear,10.0,Clear
611,10.0,Clear,10.0,Clear
612,10.0,Mostly Cloudy,10.0,Mostly Cloudy
613,10.0,Clear,10.0,Clear
614,10.0,Clear,10.0,Clear
615,10.0,Clear,10.0,Clear
616,10.0,Overcast,10.0,Overcast
617,9.0,Clear,9.0,Clear
618,10.0,Scattered Clouds,10.0,Scattered Clouds
619,10.0,Clear,10.0,Clear
620,10.0,Clear,10.0,Clear
621,2.0,Light Rain,3.0,Partly Cloudy
622,10.0,Clear,10.0,Clear
623,9.0,Clear,9.0,Clear
624,10.0,Clear,10.0,Clear
625,10.0,Scattered Clouds,10.0,Scattered Clouds
626,8.0,Scattered Clouds,8.0,Scattered Clouds
627,8.0,Mostly Cloudy,8.0,Mostly Cloudy
628,10.0,Clear,10.0,Clear
629,10.0,Clear,10.0,Clear
630,10.0,Scattered Clouds,10.0,Scattered Clouds
631,10.0,Clear,10.0,Partly Cloudy
632,10.0,Clear,10.0,Clear
633,5.0,Mostly Cloudy,5.0,Mostly Cloudy
634,10.0,Clear,10.0,Clear
635,10.0,Clear,10.0,Clear
636,10.0,Clear,10.0,Clear
637,10.0,Clear,10.0,Clear
638,5.0,Haze,5.0,Haze
639,8.0,Clear,8.0,Clear
640,10.0,Clear,10.0,Clear
641,10.0,Partly Cloudy,10.0,Partly Cloudy
642,10.0,Clear,10.0,Clear
643,10.0,Clear,10.0,Clear
644,9.0,Clear,8.0,Clear
645,10.0,Scattered Clouds,10.0,Mostly Cloudy
646,10.0,Clear,10.0,Clear
647,10.0,Clear,10.0,Clear
648,10.0,Clear,10.0,Clear
649,10.0,Clear,10.0,Clear
650,10.0,Clear,9.0,Clear
651,7.0,Scattered Clouds,7.0,Scattered Clouds
652,5.0,Haze,5.0,Haze
653,5.0,Haze,5.0,Mostly Cloudy
654,10.0,Overcast,10.0,Overcast
655,10.0,Clear,10.0,Clear
656,10.0,Clear,10.0,Clear
657,10.0,Clear,10.0,Clear
658,10.0,Overcast,10.0,Overcast
