Borough,Neighborhood,zip_code
Queens,West Queens,11373
Queens,West Central Queens,11374
Queens,West Central Queens,11375
Queens,West Queens,11377
Queens,West Queens,11378
Queens,West Central Queens,11379
Queens,West Central Queens,11385
Queens,Southeast Queens,11411
Queens,Jamaica,11412
Queens,Southeast Queens,11413
Queens,Southwest Queens,11414
Queens,Southwest Queens,11415
Queens,Southwest Queens,11416
Queens,Southwest Queens,11417
Queens,Southwest Queens,11418
Queens,Southwest Queens,11419
Queens,Southwest Queens,11420
Queens,Southwest Queens,11421
Queens,Southeast Queens,11422
Queens,Jamaica,11423
Queens,Southeast Queens,11426
Queens,Southeast Queens,11427
Queens,Southeast Queens,11428
Queens,Southeast Queens,11429
Queens,Jamaica,11432
Queens,Jamaica,11433
Queens,Jamaica,11434
Queens,Jamaica,11435
Queens,Jamaica,11436
Queens,Rockaways,11691
Queens,Rockaways,11692
Queens,Rockaways,11693
Queens,Rockaways,11694
Queens,Rockaways,11695
Queens,Rockaways,11697
Brooklyn,Greenpoint,12122
